Date,Brooklyn_Bridge,Manhattan_Bridge,Williamsburg_Bridge,Queensboro_Bridge,Total
2017-04-01,606,1446,1915,1430,5397
2017-04-02,2021,3943,4207,2862,13033
2017-04-03,2470,4988,5178,3689,16325
2017-04-04,723,1913,2279,1666,6581
2017-04-05,2807,5276,5711,4197,17991
2017-04-06,461,1324,1739,1372,4896
2017-04-07,1222,2955,3399,2765,10341
2017-04-08,1674,3163,4082,2691,11610
2017-04-09,2375,4377,4886,3261,14899
2017-04-10,3324,6359,6881,4731,21295
2017-04-11,3887,7247,8079,5501,24714
2017-04-12,2565,5633,6620,4537,19355
2017-04-13,3353,6052,6775,4700,20880
2017-04-14,2942,5054,5877,4142,18015
2017-04-15,2253,3853,4965,3291,14362
2017-04-16,2877,4585,5259,3687,16408
2017-04-17,3152,6352,6924,4658,21086
2017-04-18,3415,6691,7341,5012,22459
2017-04-19,1965,4632,5234,3996,15827
2017-04-20,1567,3365,4302,3056,12290
2017-04-21,1426,3142,3674,2672,10914
2017-04-22,1318,2297,2963,2366,8944
2017-04-23,2520,4681,5105,3434,15740
2017-04-24,2544,5366,5762,4183,17855
2017-04-25,611,1402,1902,1578,5493
2017-04-26,1247,2774,3429,2369,9819
2017-04-27,2959,5311,6026,4285,18581
2017-04-28,3679,6774,7196,5138,22787
2017-04-29,3315,5605,6045,4078,19043
2017-04-30,2225,4057,4513,3137,13932
2017-05-01,3084,6506,6793,4820,21203
2017-05-02,3423,7035,7789,5449,23696
2017-05-03,3342,6984,7445,4804,22575
2017-05-04,3019,6525,6922,5144,21610
2017-05-05,513,1471,1951,1421,5356
2017-05-06,1892,3815,5502,3965,15174
2017-05-07,3539,3547,4941,3851,15878
2017-05-08,2886,5812,6249,4432,19379
2017-05-09,2718,6455,6910,5000,21083
2017-05-10,2810,6396,7075,4980,21261
2017-05-11,2657,6179,6750,5139,20725
2017-05-12,2640,5367,6325,4692,19024
2017-05-13,151,484,874,865,2374
2017-05-14,1452,2704,3320,2389,9865
2017-05-15,2685,5865,5981,4550,19081
2017-05-16,3666,7847,8420,6209,26142
2017-05-17,3535,7888,8540,6121,26084
2017-05-18,3190,6886,7645,5753,23474
2017-05-19,2952,6432,6859,5272,21515
2017-05-20,2161,3896,5198,3910,15165
2017-05-21,2612,4656,5634,3782,16684
2017-05-22,768,1633,2116,1609,6126
2017-05-23,3174,6715,7011,4899,21799
2017-05-24,2969,6005,6872,4344,20190
2017-05-25,488,1196,1789,1316,4789
2017-05-26,2590,4563,5344,3642,16139
2017-05-27,2609,4013,6105,3703,16430
2017-05-28,2640,4048,5456,3549,15693
2017-05-29,836,1730,2738,1704,7008
2017-05-30,2301,5366,5938,4431,18036
2017-05-31,2689,5717,6523,4575,19504
2017-06-01,3468,7328,8461,6184,25441
2017-06-02,3271,7007,7968,5293,23539
2017-06-03,2589,4510,6210,4084,17393
2017-06-04,1805,3127,4023,3023,11978
2017-06-05,2171,4552,5276,3359,15358
2017-06-06,1193,3021,3807,2572,10593
2017-06-07,3211,7180,7632,5072,23095
2017-06-08,3253,7083,7778,5288,23402
2017-06-09,3401,6859,7744,5155,23159
2017-06-10,3066,5193,6391,4425,19075
2017-06-11,2465,4388,5153,3178,15184
2017-06-12,2854,6265,7049,5032,21200
2017-06-13,2882,6141,7155,5399,21577
2017-06-14,2596,5630,6619,5152,19997
2017-06-15,3510,7854,8652,6344,26360
2017-06-16,2054,4857,5783,4474,17168
2017-06-17,1399,2633,3439,2977,10448
2017-06-18,2199,4014,4901,3396,14510
2017-06-19,1648,3553,4334,3552,13087
2017-06-20,3407,7473,7975,6091,24946
2017-06-21,3304,7416,8754,6159,25633
2017-06-22,3368,7624,8307,6289,25588
2017-06-23,2283,4683,5611,4330,16907
2017-06-24,2307,3933,5214,3396,14850
2017-06-25,2625,4882,5727,4197,17431
